pais;ano;quantidade_valor;quantidade_kg;type
austria;1975;5560;8835;importacao_vinhos_de_mesa
bermudas;1975;0;0;importacao_vinhos_de_mesa
belgica;1975;0;0;importacao_vinhos_de_mesa
bolivia;1975;0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1975;0;0;importacao_vinhos_de_mesa
brasil;1975;0;0;importacao_vinhos_de_mesa
bulgaria;1975;0;0;importacao_vinhos_de_mesa
canada;1975;0;0;importacao_vinhos_de_mesa
chile;1975;764780;952233;importacao_vinhos_de_mesa
china;1975;0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1975;0;0;importacao_vinhos_de_mesa
croacia;1975;0;0;importacao_vinhos_de_mesa
cuba;1975;0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1975;0;0;importacao_vinhos_de_mesa
eslovênia;1975;0;0;importacao_vinhos_de_mesa
eslovaquia;1975;0;0;importacao_vinhos_de_mesa
espanha;1975;123102;174608;importacao_vinhos_de_mesa
estados unidos;1975;3761;965;importacao_vinhos_de_mesa
franca;1975;278746;191546;importacao_vinhos_de_mesa
georgia;1975;0;0;importacao_vinhos_de_mesa
georgia do sul e sawich do sul, ilhas;1975;0;0;importacao_vinhos_de_mesa
grecia;1975;0;0;importacao_vinhos_de_mesa
hong kong;1975;0;0;importacao_vinhos_de_mesa
hungria;1975;0;0;importacao_vinhos_de_mesa
ionesia;1975;0;0;importacao_vinhos_de_mesa
irlaa;1975;0;0;importacao_vinhos_de_mesa
israel;1975;0;0;importacao_vinhos_de_mesa
italia;1975;244731;250541;importacao_vinhos_de_mesa
japao;1975;0;0;importacao_vinhos_de_mesa
iugoslavia;1975;5128;7969;importacao_vinhos_de_mesa
libano;1975;0;0;importacao_vinhos_de_mesa
luxemburgo;1975;0;0;importacao_vinhos_de_mesa
macedonia;1975;0;0;importacao_vinhos_de_mesa
marrocos;1975;0;0;importacao_vinhos_de_mesa
mexico;1975;0;0;importacao_vinhos_de_mesa
moldavia;1975;0;0;importacao_vinhos_de_mesa
montenegro;1975;0;0;importacao_vinhos_de_mesa
noruega;1975;0;0;importacao_vinhos_de_mesa
nova zelaia;1975;0;0;importacao_vinhos_de_mesa
paises baixos _holaa;1975;0;0;importacao_vinhos_de_mesa
panama;1975;0;0;importacao_vinhos_de_mesa
peru;1975;0;0;importacao_vinhos_de_mesa
porto rico;1975;0;0;importacao_vinhos_de_mesa
portugal;1975;1838430;2192004;importacao_vinhos_de_mesa
reino unido;1975;0;0;importacao_vinhos_de_mesa
republica dominicana;1975;0;0;importacao_vinhos_de_mesa
romênia;1975;0;0;importacao_vinhos_de_mesa
russia;1975;0;0;importacao_vinhos_de_mesa
san marino;1975;0;0;importacao_vinhos_de_mesa
servia;1975;0;0;importacao_vinhos_de_mesa
siria;1975;0;0;importacao_vinhos_de_mesa
suazilaia;1975;0;0;importacao_vinhos_de_mesa
suica;1975;0;0;importacao_vinhos_de_mesa
tcheca, republica;1975;0;0;importacao_vinhos_de_mesa
tunisia;1975;0;0;importacao_vinhos_de_mesa
turquia;1975;0;0;importacao_vinhos_de_mesa
ucrania;1975;0;0;importacao_vinhos_de_mesa
uruguai;1975;0;0;importacao_vinhos_de_mesa
nao consta na tabela;1975;0;0;importacao_vinhos_de_mesa
nao declarados;1975;0;0;importacao_vinhos_de_mesa
outros;1975;13989;18132;importacao_vinhos_de_mesa
africa do sul;1976;0;0;importacao_vinhos_de_mesa
alemanha;1976;171308;168134;importacao_vinhos_de_mesa
argelia;1976;0;0;importacao_vinhos_de_mesa
arabia saudita;1976;0;0;importacao_vinhos_de_mesa
argentina;1976;277507;348653;importacao_vinhos_de_mesa
armênia;1976;0;0;importacao_vinhos_de_mesa
australia;1976;0;0;importacao_vinhos_de_mesa
austria;1976;0;0;importacao_vinhos_de_mesa
bermudas;1976;0;0;importacao_vinhos_de_mesa
belgica;1976;0;0;importacao_vinhos_de_mesa
