cod_produto;produto;ano;litros
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1976;0
derivados_outros_derivados;OUTROS DERIVADOS;1976;0
vinho_de_mesa;VINHO DE MESA;1977;195359778
vinho_mesa_tinto;TINTO;1977;154801826
vinho_mesa_branco;BRANCO;1977;4954387
vinho_mesa_rosado;ROSADO;1977;35603565
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1977;41264971
vinho_viniferas_tinto;TINTO;1977;16131758
vinho_viniferas_branco;BRANCO;1977;20409231
vinho_viniferas_rosado;ROSADO;1977;4723982
suco;SUCO;1977;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1977;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1977;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1977;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1977;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1977;0
derivados;DERIVADOS;1977;24015856
derivados_espumante;ESPUMANTE;1977;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1977;0
derivados_base_espumante;BASE ESPUMANTE;1977;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1977;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1977;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1977;0
derivados_bebida_de_uva;BEBIDA DE UVA;1977;0
derivados_polpa_de_uva;POLPA DE UVA;1977;0
derivados_mosto_simples;MOSTO SIMPLES;1977;22097156
derivados_mosto_concentrado;MOSTO CONCENTRADO;1977;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1977;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1977;0
derivados_mistelas;MISTELAS;1977;553200
derivados_nectar_de_uva;NÉCTAR DE UVA;1977;0
derivados_licorosos;LICOROSOS;1977;525000
derivados_compostos;COMPOSTOS;1977;0
derivados_jeropiga;JEROPIGA;1977;12500
derivados_filtrado;FILTRADO;1977;0
derivados_frisante;FRISANTE;1977;0
derivados_vinho_leve;VINHO LEVE;1977;0
derivados_vinho_licoroso;VINHO LICOROSO;1977;0
derivados_brandy;BRANDY;1977;0
derivados_destilado;DESTILADO;1977;0
derivados_bagaceira;BAGACEIRA;1977;828000
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1977;0
derivados_vinagre;VINAGRE;1977;0
derivados_borra_liquida;BORRA LÍQUIDA;1977;0
derivados_borra_seca;BORRA SECA;1977;0
derivados_vinho_composto;VINHO COMPOSTO;1977;0
derivados_pisco;PISCO;1977;0
derivados_vinho_organico;VINHO ORGÂNICO;1977;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1977;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1977;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1977;0
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1977;0
derivados_outros_derivados;OUTROS DERIVADOS;1977;0
vinho_de_mesa;VINHO DE MESA;1978;200053669
vinho_mesa_tinto;TINTO;1978;162917363
vinho_mesa_branco;BRANCO;1978;5079748
vinho_mesa_rosado;ROSADO;1978;32056558
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1978;36750933
vinho_viniferas_tinto;TINTO;1978;15000671
vinho_viniferas_branco;BRANCO;1978;17640081
vinho_viniferas_rosado;ROSADO;1978;4110181
suco;SUCO;1978;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1978;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1978;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1978;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1978;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1978;0
derivados;DERIVADOS;1978;41607777
derivados_espumante;ESPUMANTE;1978;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1978;0
derivados_base_espumante;BASE ESPUMANTE;1978;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1978;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1978;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1978;0
derivados_bebida_de_uva;BEBIDA DE UVA;1978;0
derivados_polpa_de_uva;POLPA DE UVA;1978;0
derivados_mosto_simples;MOSTO SIMPLES;1978;40052456
derivados_mosto_concentrado;MOSTO CONCENTRADO;1978;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1978;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1978;0
derivados_mistelas;MISTELAS;1978;242150
derivados_nectar_de_uva;NÉCTAR DE UVA;1978;0
derivados_licorosos;LICOROSOS;1978;479971
derivados_compostos;COMPOSTOS;1978;75000
derivados_jeropiga;JEROPIGA;1978;60000
derivados_filtrado;FILTRADO;1978;0
derivados_frisante;FRISANTE;1978;0
derivados_vinho_leve;VINHO LEVE;1978;0
derivados_vinho_licoroso;VINHO LICOROSO;1978;0
derivados_brandy;BRANDY;1978;0
derivados_destilado;DESTILADO;1978;0
derivados_bagaceira;BAGACEIRA;1978;698200
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1978;0
derivados_vinagre;VINAGRE;1978;0
derivados_borra_liquida;BORRA LÍQUIDA;1978;0
derivados_borra_seca;BORRA SECA;1978;0
derivados_vinho_composto;VINHO COMPOSTO;1978;0
derivados_pisco;PISCO;1978;0
derivados_vinho_organico;VINHO ORGÂNICO;1978;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1978;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1978;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1978;0
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1978;0
derivados_outros_derivados;OUTROS DERIVADOS;1978;0
vinho_de_mesa;VINHO DE MESA;1979;211252982
vinho_mesa_tinto;TINTO;1979;154736439
vinho_mesa_branco;BRANCO;1979;7146395
vinho_mesa_rosado;ROSADO;1979;49370148
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1979;46129710
vinho_viniferas_tinto;TINTO;1979;14356453
vinho_viniferas_branco;BRANCO;1979;25727132
vinho_viniferas_rosado;ROSADO;1979;6046125
suco;SUCO;1979;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1979;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1979;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1979;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1979;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1979;0
